Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector,Alter,Proxy,Purchase Price
1,1,Arch of Orazca,cmm,Near Mint,English,,,18:57.7,986,FALSE,FALSE,
1,1,Arch of Orazca,plst,Near Mint,English,,,35:14.5,RIX-185,FALSE,FALSE,
1,1,Arch of Orazca,lcc,Near Mint,English,,,20:11.5,319,FALSE,FALSE,
1,1,Archangel Elspeth,mom,Near Mint,English,foil,,31:06.6,6,FALSE,FALSE,
1,1,Archangel of Thune,sld,Near Mint,English,foil,,35:14.5,1337,FALSE,FALSE,
1,1,Archangel of Tithes,plst,Near Mint,English,foil,,35:14.5,ORI-4,FALSE,FALSE,
1,1,Archivist of Gondor,ltc,Near Mint,English,,,15:14.2,18,FALSE,FALSE,
4,4,Archon of Falling Stars,thb,Near Mint,English,foil,,13:18.0,2,FALSE,FALSE,
1,1,Archpriest of Iona,clb,Near Mint,English,,,35:54.5,686,FALSE,FALSE,
1,1,Arden Angel,sld,Near Mint,English,foil,,35:14.5,1344,FALSE,FALSE,
1,1,Ardenvale Paladin,eld,Near Mint,English,foil,,13:24.7,4,FALSE,FALSE,
1,1,Armament of Nyx,jou,Near Mint,English,foil,,13:31.6,4,FALSE,FALSE,
1,1,"Armix, Filigree Thrasher",brc,Near Mint,English,,,34:38.4,103,FALSE,FALSE,
2,2,Armory of Iroas,cmr,Near Mint,English,foil,,35:26.0,299,FALSE,FALSE,
1,1,Arrow Volley Trap,zen,Near Mint,English,foil,,13:39.4,2,FALSE,FALSE,
1,1,Artisan of Kozilek,cmm,Near Mint,English,,,18:57.7,801,FALSE,FALSE,
1,1,Artist's Talent,blb,Near Mint,English,,,14:48.9,124,FALSE,FALSE,
1,1,"Arwen, Weaver of Hope",ltc,Near Mint,English,,,16:37.9,35,FALSE,FALSE,
1,1,Asceticism,ltc,Near Mint,English,,,16:37.9,233,FALSE,FALSE,
2,2,Ash Barrens,ltc,Near Mint,English,,,17:40.5,295,FALSE,FALSE,
1,1,Ash Barrens,clb,Near Mint,English,,,35:54.5,880,FALSE,FALSE,
1,1,Ash Barrens,brc,Near Mint,English,,,34:38.4,174,FALSE,FALSE,
2,2,Assassinate,tsr,Near Mint,English,foil,,31:21.2,101,FALSE,FALSE,
1,1,Assemble the Entmoot,ltc,Near Mint,English,,,17:40.5,36,FALSE,FALSE,
1,1,Attended Healer,znr,Near Mint,English,foil,,13:47.3,6,FALSE,FALSE,
1,1,Atzocan Seer,lcc,Near Mint,English,,,20:11.5,265,FALSE,FALSE,
1,1,Austere Command,clb,Near Mint,English,,,35:54.5,687,FALSE,FALSE,
1,1,Austere Command,plst,Near Mint,English,,,35:14.5,LRW-3,FALSE,FALSE,
1,1,Austere Command,brc,Near Mint,English,,,34:38.4,69,FALSE,FALSE,
10,10,Avalanche Caller,khm,Near Mint,English,foil,,32:00.7,45,FALSE,FALSE,
1,1,Aven Mindcensor,clb,Near Mint,English,,,35:54.5,688,FALSE,FALSE,
1,1,Aven Riftwatcher,tsr,Near Mint,English,foil,,13:51.7,6,FALSE,FALSE,
4,4,Aven Surveyor,cmr,Near Mint,English,foil,,32:00.7,57,FALSE,FALSE,
1,1,Avenging Arrow,rtr,Near Mint,English,foil,,13:57.0,4,FALSE,FALSE,
1,1,Azorius Arrester,rtr,Near Mint,English,foil,,14:02.0,5,FALSE,FALSE,
1,1,Azorius Chancery,brc,Near Mint,English,,,34:38.4,175,FALSE,FALSE,
1,1,Azorius Cluestone,dgm,Near Mint,English,foil,,35:26.0,136,FALSE,FALSE,
1,1,Azorius Signet,brc,Near Mint,English,,,34:38.4,133,FALSE,FALSE,
1,1,"Baba Lysaga, Night Witch",clb,Near Mint,English,foil,,14:48.9,266,FALSE,FALSE,
1,1,Back to Basics,sld,Near Mint,English,foil,,47:36.2,1718,FALSE,FALSE,
1,1,Back to Nature,m11,Near Mint,English,,,14:48.9,164,FALSE,FALSE,
1,1,Bake into a Pie,eld,Near Mint,English,foil,,31:21.2,76,FALSE,FALSE,
1,1,Bakersbane Duo,blb,Near Mint,English,,,14:48.9,163,FALSE,FALSE,
1,1,Baleful Strix,brc,Near Mint,English,,,34:38.4,120,FALSE,FALSE,
1,1,Bane of Bala Ged,cmm,Near Mint,English,,,18:57.7,802,FALSE,FALSE,
1,1,Banishing Light,ltc,Near Mint,English,,,15:14.2,161,FALSE,FALSE,
2,2,Banishing Light,blb,Near Mint,English,,,14:48.9,1,FALSE,FALSE,
1,1,Banquet Guests,ltc,Near Mint,English,,,17:40.5,47,FALSE,FALSE,
1,1,Barad-dûr,ltr,Near Mint,English,,,14:48.9,340,FALSE,FALSE,
1,1,Barge In,eld,Near Mint,English,foil,,32:51.8,112,FALSE,FALSE,
1,1,Barkform Harvester,blb,Near Mint,English,,,14:48.9,243,FALSE,FALSE,
1,1,Bartolomé del Presidio,lci,Near Mint,English,foil,,14:48.9,301,FALSE,FALSE,
1,1,Basalt Gargoyle,tsr,Near Mint,English,foil,,32:30.4,153,FALSE,FALSE,
1,1,Basalt Monolith,ltc,Near Mint,English,,,16:17.6,274,FALSE,FALSE,
3,3,Basalt Ravager,khm,Near Mint,English,foil,,32:30.4,122,FALSE,FALSE,
1,1,Basri's Solidarity,m21,Near Mint,English,foil,,14:05.8,10,FALSE,FALSE,
1,1,Bastion Protector,ltc,Near Mint,English,,,15:14.2,162,FALSE,FALSE,
6,6,Battershield Warrior,khm,Near Mint,English,,,15:58.2,2,FALSE,FALSE,
1,1,Battlefield Forge,ltc,Near Mint,English,,,15:14.2,296,FALSE,FALSE,
1,1,Battlefield Promotion,war,Near Mint,English,foil,,14:53.5,5,FALSE,FALSE,
1,1,Battle-Rattle Shaman,2xm,Near Mint,English,foil,,32:30.4,116,FALSE,FALSE,
1,1,Beacon of Tomorrows,sld,Near Mint,English,foil,,14:48.9,1497★,FALSE,FALSE,
1,1,Beast Within,ltc,Near Mint,English,,,16:37.9,234,FALSE,FALSE,
1,1,Bellowing Aegisaur,lcc,Near Mint,English,,,20:11.5,127,FALSE,FALSE,
1,1,Bellowing Crier,blb,Near Mint,English,foil,,14:48.9,42,FALSE,FALSE,
1,1,Bellowing Crier,blb,Near Mint,English,,,14:48.9,42,FALSE,FALSE,
1,1,Beloved Princess,eld,Near Mint,English,foil,,16:17.4,7,FALSE,FALSE,
2,2,Benalish Cavalry,tsr,Near Mint,English,foil,,16:23.4,7,FALSE,FALSE,
1,1,Benevolent Blessing,cmr,Near Mint,English,foil,,16:39.8,13,FALSE,FALSE,
1,1,Beregond of the Guard,ltc,Near Mint,English,,,15:14.2,9,FALSE,FALSE,
1,1,Beskir Shieldmate,khm,Near Mint,English,foil,,16:44.4,4,FALSE,FALSE,
1,1,Bestial Menace,mic,Near Mint,English,,,14:48.9,134,FALSE,FALSE,
1,1,Bident of Thassa,brc,Near Mint,English,,,34:38.4,80,FALSE,FALSE,
1,1,"Bilbo, Birthday Celebrant",ltc,Near Mint,English,,,17:40.5,48,FALSE,FALSE,
1,1,Bill the Pony,ltr,Near Mint,English,,,14:48.9,3,FALSE,FALSE,
1,1,Birds of Paradise,ltc,Near Mint,English,,,17:40.5,235,FALSE,FALSE,
4,4,Bishop of Wings,m20,Near Mint,English,,,41:02.3,8,FALSE,FALSE,
1,1,Bishop of Wings,plst,Near Mint,English,,,35:14.5,M20-8,FALSE,FALSE,
1,1,Bitter Downfall,ltr,Near Mint,English,,,16:17.6,77,FALSE,FALSE,
5,5,Bitter Revelation,cmr,Near Mint,English,foil,,31:21.2,109,FALSE,FALSE,
1,1,Black Market Connections,clb,Near Mint,English,,,35:54.5,669,FALSE,FALSE,
1,1,Blackbloom Rogue // Blackbloom Bog,znr,Near Mint,English,foil,,31:21.2,91,FALSE,FALSE,
2,2,Blacksmith's Talent,blb,Near Mint,English,,,14:48.9,125,FALSE,FALSE,
2,2,Blade of the Sixth Pride,tsr,Near Mint,English,foil,,16:49.9,9,FALSE,FALSE,
1,1,Bladebrand,cmr,Near Mint,English,foil,,31:21.2,110,FALSE,FALSE,
1,1,Blasphemous Act,ltc,Near Mint,English,,,16:17.6,211,FALSE,FALSE,
1,1,Blast Zone,cmm,Near Mint,English,,,18:57.7,987,FALSE,FALSE,
1,1,Blinding Mage,ima,Near Mint,English,foil,,16:54.2,13,FALSE,FALSE,
2,2,Blood Aspirant,thb,Near Mint,English,foil,,32:30.4,128,FALSE,FALSE,
1,1,Blood Researcher,stx,Near Mint,English,foil,,35:26.0,166,FALSE,FALSE,
5,5,Bloodsky Berserker,khm,Near Mint,English,foil,,31:21.2,80,FALSE,FALSE,
1,1,Bloodsoaked Champion,clb,Near Mint,English,,,35:54.5,740,FALSE,FALSE,
1,1,Blooming Blast,blb,Near Mint,English,,,14:48.9,126,FALSE,FALSE,
4,4,Blossoming Sands,frf,Near Mint,English,,,37:20.2,166,FALSE,FALSE,
2,2,Boarding Party,cmr,Near Mint,English,foil,,32:30.4,163,FALSE,FALSE,
1,1,Bojuka Bog,clb,Near Mint,English,,,35:54.5,882,FALSE,FALSE,
1,1,Bojuka Bog,brc,Near Mint,English,,,34:38.4,176,FALSE,FALSE,
1,1,Bombadil's Song,ltr,Near Mint,English,,,14:48.9,154,FALSE,FALSE,
1,1,Bombadil's Song,ltr,Near Mint,English,foil,,14:48.9,154,FALSE,FALSE,
1,1,Bombard,rix,Near Mint,English,foil,,32:51.8,93,FALSE,FALSE,
1,1,Bonded Fetch,tsr,Near Mint,English,foil,,32:00.7,54,FALSE,FALSE,
1,1,Bonders' Enclave,plst,Near Mint,English,,,35:14.5,IKO-245,FALSE,FALSE,
1,1,Bonders' Enclave,cmm,Near Mint,English,,,18:57.7,988,FALSE,FALSE,
2,2,Bone Picker,2xm,Near Mint,English,foil,,31:21.2,78,FALSE,FALSE,
2,2,Bonebind Orator,blb,Near Mint,English,,,58:02.0,84,FALSE,FALSE,
1,1,Boon of the Wish-Giver,ltc,Near Mint,English,,,16:17.6,185,FALSE,FALSE,
1,1,"Boromir, Gondor's Hope",ltc,Near Mint,English,,,15:14.2,49,FALSE,FALSE,
1,1,Boros Cluestone,dgm,Near Mint,English,foil,,35:26.0,137,FALSE,FALSE,
4,4,Boros Cluestone,dgm,Near Mint,English,,,50:15.1,137,FALSE,FALSE,
1,1,Boros Garrison,gk1,Near Mint,English,,,44:49.5,98,FALSE,FALSE,
2,2,Boros Guildgate,gtc,Near Mint,English,,,40:05.1,239,FALSE,FALSE,
1,1,Boros Guildgate,grn,Near Mint,English,,,40:17.1,243,FALSE,FALSE,
1,1,Boros Guildgate,grn,Near Mint,English,,,40:51.9,244,FALSE,FALSE,
2,2,Boros Keyrune,gtc,Near Mint,English,,,51:21.9,227,FALSE,FALSE,
2,2,Boros Locket,grn,Near Mint,English,,,52:06.1,231,FALSE,FALSE,
